Voltage,Angle
1.1000125845230206,194
1.1000058555785617,194
1.1000058555785617,194
1.1000027246007047,194
1.100001267756708,194
1.100000589887196,194
1.1000002744745123,194
1.1000001277129905,194
1.1000001277129905,194
1.0946530594248545,194
1.0975120685503847,194
1.0999974564757486,194
1.0999988164981658,194
1.0999988164981658,194
1.1062763321045603,194
1.0908777847256024,194
1.0960359925459313,195
1.100538233421055,195
1.0999462866731604,195
1.0999750071890215,195
1.0999750071890215,195
1.0999988164981658,196
1.0962243071979376,196
1.0987134242854566,196
1.1246777408181805,196
1.105342831819096,196
1.1024860196454256,196
1.1011567449410165,196
1.1002504400108168,196
1.1002504400108168,196
1.1001165297370332,196
1.0947072212866416,196
1.0975372700646742,196
1.098854091761093,196
1.0994668088964366,196
1.0997519061795118,196
1.0997519061795118,196
1.0998845619453268,196
1.1258118813145588,197
1.1258118813145588,197
1.1007561297046742,197
1.1187544922844483,197
1.1087264652599538,197
1.1106934493165967,198
1.1259552816375056,198
1.1259552816375056,198
1.185089339163267,198
1.1288147265945594,198
1.1319546258822997,199
1.114868487423034,199
1.1165418778596827,200
1.2306779357681104,200
1.1552107178589988,200
1.1210166619670123,201
1.248801052813251,201
1.1510433773282518,201
1.2681194834708358,201
1.0957554332328228,201
1.1087190030832326,201
1.1246777408181805,201
1.1246777408181805,201
1.1466900519061216,202
1.1324188811519185,202
1.1257785053999878,202
1.1669651435945818,202
1.0982183038250732,202
1.1365999767698065,202
1.1619272009339339,202
1.1288147265945594,202
1.1280357385626143,203
1.1344330291531843,203
1.1270868271515848,203
1.1874615006736324,203
1.1571838080427677,203
1.1451040352360897,203
1.1956731525016093,203
1.1956731525016093,203
1.1307919521346281,203
1.1344330291531843,204
1.1773609540213226,205
1.2215994002448611,205
1.1416057849908534,205
1.156181913858826,206
1.1528764445185118,206
1.1427566884649767,207
1.1566854096344636,207
1.158457721102916,207
1.143451074555885,207
1.1416057849908534,207
1.1519766871427537,208
1.1699763776291867,208
1.1969353862800123,208
1.1517564953282424,208
1.188246297276231,208
1.1559399970498716,208
1.147416880627305,208
1.1956731525016093,209
1.1559399970498716,209
1.1559399970498716,209
1.1616137525275232,210
1.1660978790510566,210
1.1670618243693505,210
1.1670618243693505,210
1.1632858668790589,210
1.156181913858826,210
1.24327735658999,211
1.1735313431224565,211
1.1967240085108606,211
1.2572926811601035,211
1.1735313431224565,212
1.176990133954879,212
1.1839465093292052,212
1.1824199427721567,212
1.1824199427721567,212
1.1811259993718846,212
1.1751769275077377,212
1.306452836263441,212
1.3800314435129017,212
1.155781821701065,212
1.1627659511065371,212
1.218622969190991,213
1.2159190021226303,213
1.1828196854864959,213
1.1759649996568664,213
1.1727755143403398,213
1.16594444682256,213
1.1925303107908793,214
1.1911773536109962,214
1.1852008226351964,214
1.1999136214114925,214
1.232426700181779,215
1.1828196854864959,215
1.2681194834708358,218
1.2159190021226303,218
1.2448361116876598,218
1.2853457689233014,219
1.1969353862800123,219
1.2481585052688793,219
1.2572719136288253,220
1.2572719136288253,220
1.3064142427682683,220
1.2900977061749546,220
1.2205344626832062,220
1.185089339163267,221
1.3000020695126682,221
1.2198835626500428,222
1.2572926811601035,224
1.376470887311548,224
1.3034999038660633,224
1.5029956306665533,226
1.2215994002448611,226
1.24327735658999,228
1.24327735658999,228
1.3460690170402438,228
1.3724955471600753,229
1.315605267564568,230
1.306452836263441,231
1.3981601309977933,235
1.4686549089532734,235
1.4151991298740056,236
1.3817212845437963,236
1.5037819136982284,236
1.4417351305005037,236
1.3231733562218844,236
1.3268609504510231,236
1.3274841104448525,237
1.4766869844434773,237
