tempo,tensao
13.600,2.016837
13.700,2.018419
13.800,2.019209
13.900,2.019802
14.000,2.019901
14.200,2.022475
14.300,1.958119
14.400,1.869530
14.500,1.879882
14.600,1.889941
14.700,1.904985
14.800,1.906246
14.900,1.896562
15.100,1.874140
15.200,1.808535
15.300,1.777134
15.400,1.769283
15.600,1.764642
15.700,1.781160
15.800,1.782790
15.900,1.775349
16.000,1.772674
16.100,1.773169
16.300,1.775792
16.400,1.761974
16.500,1.760987
16.600,1.775247
16.800,1.771312
16.900,1.755328
17.000,1.758832
17.200,1.762354
17.300,1.740588
17.400,1.730294
17.500,1.730074
17.700,1.730009
17.800,1.725005
17.900,1.708751
18.000,1.689688
18.100,1.654844
18.200,1.627422
18.300,1.611855
18.400,1.572964
18.500,1.583241
18.700,1.590810
18.800,1.590203
18.900,1.585051
19.000,1.592525
19.100,1.596263
19.200,1.594066
19.300,1.586016
19.400,1.574004
19.500,1.531001
19.700,1.520250
19.800,1.415031
19.900,1.382516
20.000,1.373129
20.200,1.380782
20.300,1.377696
20.400,1.323848
20.500,1.273462
20.700,1.345433
20.800,1.391358
20.900,1.417840
21.000,1.424460
21.200,1.446115
21.300,1.441529
21.400,1.430382
21.500,1.432596
21.600,1.432596
21.700,1.440649
21.800,1.430324
21.900,1.435081
22.000,1.441270
22.200,1.457818
22.300,1.462227
22.400,1.455557
22.600,1.446389
22.700,1.436597
22.800,1.401649
22.900,1.410825
23.000,1.365206
23.100,1.348802
23.300,1.337350
23.400,1.309338
23.500,1.329669
23.700,1.337417
23.800,1.331854
23.900,1.325464
24.000,1.271933
24.200,1.275966
24.300,1.273992
24.400,1.263498
24.500,1.278374
24.700,1.239594
24.800,1.209898
24.900,1.179975
25.000,1.177494
25.100,1.193747
25.200,1.180937
25.300,1.180234
25.400,1.190117
25.500,1.180029
25.600,1.162507
25.800,1.165627
25.900,1.119453
26.100,1.134727
26.200,1.191182
26.300,1.232795
26.400,1.243199
26.500,1.200800
26.700,1.185400
26.800,1.163175
26.900,1.170794
27.000,1.155198
27.200,1.108800
27.300,1.094700
27.400,1.131175
27.500,1.125587
27.600,1.091397
27.700,1.050349
27.800,0.977587
28.000,0.973794
28.100,1.004224
28.300,0.993556
28.400,0.985889
28.500,0.978972
28.600,1.032243
28.700,1.175561
28.900,1.288890
29.000,1.369723
29.100,1.407431
29.200,1.407431
29.300,1.451858
29.400,1.472964
29.500,1.493241
29.600,1.505810
29.700,1.513953
29.900,1.523488
30.000,1.551686
30.100,1.550843
30.200,1.562711
30.400,1.573178
30.500,1.581589
30.600,1.590397
30.700,1.602599
30.900,1.634075
31.000,1.658519
31.100,1.674630
31.200,1.681157
31.400,1.692789
31.500,1.703197
31.600,1.718299
31.700,1.724150
31.800,1.732075
31.900,1.728019
32.000,1.734009
32.100,1.738502
32.200,1.747126
32.400,1.750891
32.500,1.752723
32.600,1.750681
32.800,1.757670
32.900,1.759418
33.000,1.764709
33.100,1.751177
33.200,1.747794
33.300,1.756949
33.500,1.768369
33.600,1.769592
33.800,1.784898
33.900,1.801225
34.000,1.815306
34.100,1.831327
34.200,1.835663
34.300,1.838916
34.500,1.843614
34.600,1.850904
34.800,1.855452
34.900,1.866363
35.000,1.863295
35.100,1.865824
35.300,1.876456
35.400,1.881614
35.500,1.885807
35.600,1.881452
35.700,1.877863
35.900,1.869466
36.000,1.877366
36.100,1.889342
36.300,1.892418
36.400,1.885604
36.500,1.881401
36.600,1.885350
36.800,1.892675
36.900,1.898169
37.000,1.899542
37.100,1.897386
37.200,1.898693
