tempo,forca
11.384,0.841000
11.426,0.815000
11.526,0.797000
11.548,0.771000
11.574,0.745000
11.598,0.720000
11.698,0.725000
11.780,0.750000
11.816,0.776000
11.916,0.790000
11.936,0.817000
11.954,0.843000
12.054,0.843000
12.112,0.870000
12.124,0.898000
12.136,0.927000
12.154,0.953000
12.194,0.927000
12.216,0.902000
12.250,0.927000
12.266,0.955000
12.352,0.930000
12.400,0.957000
12.412,0.983000
12.424,1.009000
12.440,1.035000
12.462,1.062000
12.490,1.087000
12.508,1.112000
12.526,1.138000
12.626,1.136000
12.656,1.163000
12.674,1.191000
12.692,1.216000
12.758,1.243000
12.770,1.271000
12.782,1.300000
12.796,1.327000
12.896,1.340000
12.918,1.367000
12.940,1.393000
12.968,1.419000
13.006,1.445000
13.106,1.421000
13.144,1.395000
13.170,1.368000
13.270,1.394000
13.288,1.422000
13.370,1.396000
13.414,1.423000
13.444,1.448000
13.470,1.473000
13.488,1.501000
13.508,1.527000
13.530,1.555000
13.546,1.583000
13.560,1.609000
13.578,1.637000
13.602,1.663000
13.642,1.689000
13.658,1.714000
13.670,1.740000
13.682,1.765000
13.698,1.791000
13.752,1.764000
13.852,1.784000
13.892,1.810000
13.978,1.784000
14.000,1.758000
14.016,1.731000
14.032,1.703000
14.054,1.677000
14.154,1.658000
14.254,1.658000
14.294,1.684000
14.336,1.709000
14.370,1.734000
14.388,1.761000
14.488,1.753000
14.524,1.728000
14.602,1.755000
14.676,1.730000
14.708,1.755000
14.726,1.781000
14.754,1.807000
14.854,1.792000
14.900,1.767000
15.000,1.766000
15.054,1.741000
15.082,1.716000
15.178,1.689000
15.196,1.662000
15.214,1.635000
15.314,1.612000
15.352,1.638000
15.432,1.664000
15.464,1.689000
15.514,1.715000
15.558,1.741000
15.582,1.767000
15.678,1.792000
15.698,1.818000
15.714,1.845000
15.728,1.872000
15.740,1.899000
15.750,1.925000
15.760,1.952000
15.770,1.980000
15.780,2.007000
15.790,2.033000
15.800,2.059000
15.810,2.086000
15.820,2.112000
15.832,2.139000
15.890,2.111000
15.954,2.137000
16.022,2.162000
16.044,2.189000
16.070,2.215000
16.102,2.240000
16.148,2.265000
16.166,2.295000
16.174,2.321000
16.182,2.355000
16.188,2.384000
16.194,2.414000
16.200,2.444000
16.206,2.471000
16.214,2.503000
16.224,2.532000
16.270,2.504000
16.282,2.475000
16.294,2.448000
16.306,2.422000
16.318,2.395000
16.332,2.367000
16.348,2.342000
16.372,2.316000
16.398,2.288000
16.416,2.263000
16.490,2.288000
16.554,2.313000
16.654,2.290000
16.686,2.264000
16.746,2.237000
16.768,2.211000
16.792,2.186000
16.892,2.174000
16.954,2.148000
17.054,2.143000
17.088,2.117000
17.162,2.092000
17.262,2.073000
17.298,2.101000
17.312,2.128000
17.324,2.154000
17.336,2.180000
17.350,2.206000
17.366,2.234000
17.380,2.260000
17.392,2.287000
17.402,2.312000
17.412,2.339000
17.422,2.369000
17.432,2.399000
17.442,2.425000
17.456,2.451000
17.556,2.450000
17.648,2.475000
17.742,2.501000
17.808,2.474000
17.908,2.500000
18.008,2.516000
18.040,2.541000
18.140,2.549000
18.168,2.576000
18.200,2.602000
18.242,2.629000
18.270,2.654000
18.318,2.680000
18.352,2.705000
18.382,2.731000
18.406,2.756000
18.484,2.781000
18.584,2.768000
18.612,2.794000
18.634,2.819000
18.674,2.845000
18.726,2.870000
18.826,2.884000
18.884,2.909000
18.918,2.934000
18.960,2.959000
19.008,2.985000
19.050,3.010000
19.106,3.037000
19.130,3.063000
19.230,3.043000
19.278,3.069000
19.298,3.098000
19.312,3.126000
19.328,3.152000
19.406,3.177000
19.462,3.148000
19.472,3.120000
19.482,3.090000
19.492,3.062000
19.502,3.034000
19.512,3.008000
19.524,2.980000
19.538,2.952000
19.554,2.924000
19.570,2.896000
19.588,2.868000
19.610,2.843000
19.632,2.817000
19.654,2.790000
19.710,2.817000
19.734,2.843000
19.800,2.869000
19.816,2.894000
19.828,2.922000
19.838,2.948000
19.850,2.975000
19.868,3.002000
19.904,2.975000
19.992,2.950000
20.080,2.976000
20.108,3.001000
20.132,3.028000
20.160,3.054000
20.218,3.081000
20.236,3.107000
20.336,3.123000
20.354,3.148000
20.394,3.173000
20.428,3.199000
20.446,3.225000
20.462,3.252000
20.486,3.278000
20.532,3.303000
20.552,3.329000
20.574,3.354000
20.636,3.379000
20.662,3.405000
20.696,3.430000
20.772,3.456000
20.794,3.483000
20.812,3.509000
20.878,3.482000
20.918,3.511000
20.932,3.538000
20.948,3.564000
21.030,3.539000
21.130,3.547000
21.186,3.572000
21.286,3.563000
21.340,3.588000
21.366,3.615000
21.392,3.641000
21.414,3.668000
21.510,3.694000
21.528,3.720000
21.628,3.704000
21.728,3.696000
21.756,3.669000
21.776,3.642000
21.828,3.670000
21.844,3.698000
21.860,3.726000
21.876,3.752000
21.894,3.777000
21.994,3.766000
22.094,3.759000
22.162,3.785000
22.262,3.800000
22.362,3.792000
22.462,3.784000
22.562,3.789000
22.618,3.814000
22.676,3.839000
22.702,3.865000
22.722,3.890000
22.744,3.916000
22.766,3.941000
22.866,3.952000
22.882,3.980000
22.894,4.007000
22.906,4.036000
22.918,4.062000
22.934,4.089000
22.958,4.114000
23.024,4.089000
23.042,4.062000
23.142,4.046000
23.182,4.071000
23.282,4.075000
23.382,4.067000
23.482,4.059000
23.510,4.032000
23.598,4.058000
23.660,4.084000
23.760,4.104000
23.802,4.130000
23.826,4.156000
23.880,4.182000
23.928,4.157000
23.944,4.130000
23.968,4.104000
24.024,4.079000
24.052,4.053000
24.066,4.027000
24.080,4.001000
24.104,3.976000
24.186,3.949000
24.286,3.959000
24.312,3.986000
24.332,4.013000
24.348,4.041000
24.360,4.067000
24.374,4.095000
24.388,4.121000
24.472,4.148000
24.572,4.172000
24.612,4.145000
24.630,4.119000
24.648,4.092000
24.686,4.066000
24.712,4.040000
24.738,4.015000
24.798,3.989000
24.834,3.964000
24.934,3.940000
24.994,3.914000
25.094,3.905000
25.194,3.929000
25.224,3.955000
25.276,3.981000
25.290,4.006000
25.302,4.034000
25.314,4.061000
25.398,4.087000
25.414,4.114000
25.498,4.141000
25.520,4.167000
25.558,4.193000
25.580,4.220000
25.600,4.245000
25.628,4.271000
25.674,4.297000
25.696,4.323000
25.722,4.348000
25.752,4.321000
25.812,4.346000
25.836,4.372000
25.854,4.398000
25.940,4.423000
25.964,4.448000
25.984,4.473000
26.002,4.501000
26.016,4.527000
26.028,4.552000
26.040,4.579000
26.054,4.604000
26.072,4.629000
26.096,4.654000
26.116,4.680000
26.132,4.708000
26.142,4.733000
26.152,4.763000
26.162,4.794000
26.172,4.821000
26.184,4.846000
26.200,4.873000
26.216,4.900000
26.232,4.926000
26.260,4.951000
26.290,4.925000
26.386,4.900000
26.406,4.873000
26.424,4.847000
26.454,4.822000
26.472,4.794000
26.484,4.769000
26.500,4.741000
26.536,4.716000
26.572,4.690000
26.672,4.716000
26.692,4.741000
26.714,4.769000
26.740,4.794000
26.778,4.767000
26.790,4.737000
26.800,4.707000
26.808,4.681000
26.818,4.650000
26.828,4.623000
26.840,4.595000
26.856,4.568000
26.880,4.543000
26.912,4.516000
26.928,4.489000
26.940,4.462000
26.950,4.436000
26.960,4.407000
26.968,4.379000
26.974,4.354000
26.980,4.325000
26.986,4.292000
26.992,4.255000
26.996,4.228000
27.000,4.200000
27.004,4.170000
27.008,4.138000
27.012,4.105000
27.016,4.070000
27.020,4.034000
27.024,3.997000
27.028,3.959000
27.032,3.921000
27.036,3.882000
27.040,3.843000
27.044,3.804000
27.048,3.764000
27.052,3.724000
27.056,3.684000
27.060,3.645000
27.064,3.606000
27.068,3.569000
27.072,3.535000
27.076,3.504000
27.080,3.477000
27.086,3.442000
27.092,3.415000
27.100,3.390000
27.114,3.363000
27.130,3.338000
27.142,3.313000
27.152,3.286000
27.160,3.260000
27.168,3.229000
27.174,3.202000
27.180,3.171000
27.186,3.134000
27.190,3.105000
27.194,3.074000
27.198,3.040000
27.202,3.001000
27.206,2.960000
27.210,2.915000
27.214,2.867000
27.216,2.842000
27.218,2.816000
27.220,2.790000
27.222,2.763000
27.224,2.737000
27.226,2.710000
27.228,2.683000
27.230,2.657000
27.232,2.632000
27.234,2.607000
27.236,2.581000
27.240,2.532000
27.244,2.484000
27.248,2.439000
27.252,2.396000
27.256,2.354000
27.260,2.314000
27.264,2.277000
27.268,2.241000
27.272,2.208000
27.276,2.176000
27.280,2.146000
27.284,2.117000
27.288,2.089000
27.292,2.062000
27.296,2.037000
27.302,2.000000
27.308,1.964000
27.314,1.930000
27.320,1.897000
27.326,1.868000
27.332,1.841000
27.340,1.812000
27.350,1.784000
27.364,1.756000
27.386,1.731000
27.430,1.757000
27.444,1.783000
27.458,1.809000
27.482,1.835000
27.504,1.863000
27.518,1.892000
27.532,1.918000
27.548,1.943000
27.564,1.971000
27.582,1.997000
27.604,2.023000
27.618,2.051000
27.630,2.080000
27.644,2.107000
27.712,2.082000
27.732,2.055000
27.746,2.025000
27.756,2.000000
27.766,1.975000
27.776,1.949000
27.788,1.919000
27.798,1.894000
27.810,1.864000
27.822,1.836000
27.834,1.808000
27.846,1.780000
27.858,1.750000
27.868,1.722000
27.878,1.692000
27.886,1.665000
27.894,1.638000
27.902,1.608000
27.910,1.578000
27.918,1.546000
27.926,1.514000
27.934,1.481000
27.940,1.454000
27.946,1.428000
27.952,1.401000
27.958,1.374000
27.964,1.347000
27.970,1.319000
27.976,1.292000
27.982,1.264000
27.988,1.237000
27.994,1.210000
28.000,1.185000
28.008,1.152000
28.016,1.121000
28.024,1.092000
28.032,1.065000
28.040,1.040000
28.050,1.010000
28.060,0.983000
28.072,0.955000
28.086,0.930000
28.106,0.904000
28.134,0.878000
28.214,0.852000
28.250,0.825000
28.268,0.799000
28.284,0.774000
28.302,0.748000
28.322,0.723000
28.344,0.698000
28.368,0.672000
28.388,0.647000
28.406,0.621000
28.432,0.595000
28.508,0.621000
28.562,0.646000
28.662,0.653000
28.762,0.636000
28.818,0.609000
28.842,0.583000
28.864,0.558000
28.886,0.531000
28.904,0.504000
28.924,0.477000
28.992,0.451000
29.024,0.425000
29.100,0.400000
29.140,0.374000
29.170,0.348000
29.220,0.322000
29.242,0.297000
29.266,0.271000
29.316,0.246000
29.358,0.221000
29.386,0.195000
29.418,0.169000
29.458,0.144000
29.492,0.119000
29.512,0.094000
29.542,0.068000
29.574,0.043000
29.668,0.018000
29.768,0.006000
29.868,0.000000
29.968,0.006000
30.068,0.000000
30.168,0.000000
30.268,0.000000
30.368,0.000000
30.468,0.000000
30.568,0.000000
30.668,0.000000
30.768,0.000000
30.868,0.000000
30.968,0.000000
31.068,0.000000
31.168,0.000000
31.268,0.000000
31.368,0.000000
31.468,0.000000
31.568,0.000000
31.668,0.000000
31.768,0.000000
31.868,0.000000
31.968,0.000000
32.068,0.000000
32.168,0.000000
32.268,0.000000
32.368,0.000000
32.468,0.000000
32.568,0.000000
32.668,0.000000
32.768,0.000000
32.868,0.000000
32.968,0.000000
33.068,0.000000
33.168,0.000000
33.268,0.000000
33.368,0.000000
33.468,0.000000
33.568,0.000000
33.668,0.000000
33.768,0.000000
33.868,0.000000
33.968,0.000000
34.068,0.000000
34.168,0.000000
34.268,0.000000
34.368,0.000000
34.468,0.000000
34.568,0.000000
34.668,0.000000
34.768,0.000000
34.868,0.000000
34.968,0.000000
35.068,0.000000
35.084,0.000000
