tempo,forca
18.200,4.953000
18.300,4.904500
18.400,4.811400
18.500,4.818000
18.600,4.836750
18.700,4.771000
18.800,4.823667
18.900,4.707556
19.000,4.612000
19.100,4.702667
19.200,4.595333
19.300,4.499500
19.400,4.553000
19.500,4.497000
19.600,4.411000
19.700,4.238750
19.800,4.109167
19.900,4.012909
20.000,3.840571
20.100,3.957333
20.200,3.933000
20.300,3.857000
20.400,3.857000
20.500,3.868000
20.600,3.795800
20.700,3.755000
20.800,3.729000
20.900,3.704500
21.000,3.688000
21.100,3.585750
21.200,3.651500
21.300,3.417733
21.400,3.137500
21.500,3.102833
21.600,3.074400
21.700,3.061667
21.800,3.040429
21.900,2.848357
22.000,2.618667
22.100,2.782200
22.200,2.949000
22.300,3.024000
22.400,3.163333
22.500,3.230000
22.600,3.190667
22.700,3.238625
22.800,3.384000
22.900,3.259222
23.000,3.173000
23.100,3.324222
23.200,3.348500
23.300,3.215000
23.400,3.161500
23.500,3.155000
23.600,3.143500
23.700,3.196500
23.800,3.204000
23.900,3.138500
24.000,3.087000
24.100,3.072500
24.200,3.007000
24.300,2.941000
24.400,2.917500
24.500,2.985000
24.600,2.826429
24.700,2.763500
24.800,2.697000
24.900,2.740333
25.000,2.658100
25.100,2.694875
25.200,2.653667
25.300,2.657000
25.400,2.605000
25.500,2.585000
25.600,2.506000
25.700,2.493500
25.800,2.475200
25.900,2.398000
26.000,2.401000
26.100,2.461000
26.200,2.363500
26.300,2.339000
26.400,2.283500
26.600,2.254000
26.700,2.347000
26.800,2.322500
26.900,2.295000
27.000,2.333000
27.100,2.398667
27.200,2.338000
27.300,2.323000
27.400,2.407600
27.500,2.281000
27.600,2.243429
27.700,2.448625
27.800,2.489667
27.900,2.502000
28.000,2.462000
28.100,2.354000
28.200,2.258500
28.300,2.219000
28.400,2.194000
28.500,2.227333
28.600,2.151750
28.700,2.029000
28.800,2.002000
28.900,2.041000
29.000,2.109000
29.100,1.959333
29.200,1.898750
29.300,1.806667
29.400,1.703500
29.600,1.711333
29.700,1.736000
29.800,1.706000
29.900,1.692000
30.000,1.679667
30.100,1.785600
30.200,2.110294
30.300,2.561077
30.400,2.885300
30.500,3.108000
30.600,3.258000
30.700,3.336000
30.800,3.441857
30.900,3.571333
31.000,3.572000
31.100,3.657000
31.200,3.772000
31.300,3.827500
31.400,3.867000
31.500,3.905000
31.600,3.946333
31.700,3.894500
31.800,3.998286
31.900,3.983000
32.000,4.023000
32.100,4.049000
32.200,4.116500
32.300,4.237333
32.400,4.359833
32.500,4.515000
32.600,4.661167
32.700,4.712000
32.800,4.763667
32.900,4.875200
33.000,4.919500
33.100,4.969000
33.200,5.047000
33.300,5.154750
33.400,5.144000
33.500,5.249500
33.600,5.355000
33.700,5.368000
33.800,5.353000
33.900,5.391750
34.000,5.361500
34.100,5.297000
34.200,5.294000
34.300,5.332000
34.400,5.397000
34.500,5.474667
34.600,5.555667
34.700,5.516250
34.800,5.560200
34.900,5.695400
35.000,5.721000
35.100,5.694000
35.200,5.761571
35.300,5.839000
35.400,5.909250
35.500,6.007667
35.600,6.051000
35.700,6.084000
35.800,6.073000
35.900,6.083000
36.000,6.055000
