tempo,tensao,forca
56.6,1.931172,6.046200
56.7,1.930586,6.043833
56.8,1.920146,6.268500
56.9,1.910073,6.317600
57.0,1.880018,6.308833
57.1,1.855005,6.202429
57.2,1.841251,6.298000
57.4,1.820313,6.423500
57.5,1.805078,6.478000
57.6,1.793770,6.561600
57.8,1.790942,6.409500
57.9,1.795236,6.372833
58.0,1.773809,6.198286
58.1,1.778452,6.014667
58.2,1.792113,5.836000
58.4,1.782764,5.401200
58.7,1.781423,5.403625
58.8,1.782856,5.409714
58.9,1.782856,5.482200
59.0,1.793214,5.362333
59.1,1.775803,5.157222
59.2,1.768951,5.104750
59.3,1.734738,5.117000
59.4,1.746184,5.144000
59.6,1.736546,5.044000
59.7,1.729568,4.883000
59.8,1.719784,4.800833
59.9,1.714946,4.936000
60.1,1.712473,5.028200
60.2,1.715618,4.900571
60.3,1.686405,4.792750
60.4,1.695801,4.753700
60.5,1.663950,4.531667
60.6,1.663950,4.636400
60.7,1.610988,4.560125
60.8,1.630247,4.519000
60.9,1.660062,4.499667
61.1,1.665031,4.391667
61.2,1.673758,4.365500
61.3,1.678439,4.432333
61.4,1.667110,4.377600
61.5,1.668555,4.411200
61.6,1.657139,4.372833
61.7,1.654285,4.348000
61.8,1.647142,4.400500
61.9,1.618393,4.455500
62.1,1.572098,4.368800
62.2,1.575525,4.422571
62.3,1.577762,4.322000
62.4,1.573881,4.355600
62.5,1.548470,4.281000
62.6,1.509618,4.340333
62.7,1.462404,4.262600
62.8,1.460601,4.236375
63.0,1.452650,4.048500
63.1,1.433163,3.895429
63.2,1.405791,3.724800
63.3,1.397895,3.598833
63.4,1.388948,3.639000
63.5,1.379737,3.568800
63.6,1.364868,3.428400
63.7,1.348717,3.304500
63.8,1.329679,3.168833
64.0,1.311210,3.006800
64.1,1.285302,2.957500
64.2,1.291326,2.941333
64.4,1.282831,2.795500
64.5,1.275708,2.756500
64.6,1.291427,2.657667
64.7,1.287857,2.629000
64.8,1.268928,2.601000
65.0,1.261116,2.556500
65.1,1.187779,2.509800
65.2,1.116945,2.371500
65.3,1.074236,2.334000
65.5,1.078559,2.322000
65.6,1.087140,2.257667
65.7,1.106785,2.273000
65.8,1.011696,2.363800
65.9,1.011696,2.308286
66.0,0.920424,2.135500
66.1,0.915212,2.188714
66.2,0.726303,2.174857
66.3,0.669076,1.998667
66.5,0.594769,1.848600
66.6,0.406192,1.773667
66.7,0.294048,1.788000
66.8,0.177024,1.777000
66.9,0.044256,1.832500
67.0,0.011064,1.689167
67.1,0.002766,1.411875
67.2,0.000692,1.417000
67.3,0.000346,1.276500
67.5,0.000086,1.110333
67.6,0.000011,1.032000
67.7,0.000003,0.872556
67.9,0.000001,0.614750
68.0,0.000000,0.468333
