tempo,tensao,forca
38.7,3.276016,2.968000
38.8,3.279004,3.059200
39.0,3.279751,3.324600
39.1,3.282438,3.443250
39.2,3.281219,3.508000
39.3,3.280305,3.528000
39.4,3.280152,3.522000
39.5,3.280038,3.560000
39.6,3.280019,3.599000
39.7,3.292505,3.615000
39.8,3.285626,3.655000
40.0,3.281407,3.797000
40.1,3.282676,3.913000
40.2,3.288169,3.978000
40.3,3.288169,3.985000
40.4,3.284542,4.010000
40.5,3.287271,4.018000
40.6,3.289318,4.000000
40.7,3.289829,3.974500
40.8,3.289957,3.894000
41.0,3.289989,3.807000
41.1,3.289999,3.846000
41.2,3.295000,3.896500
41.4,3.291250,3.985000
41.5,3.290625,4.035667
41.6,3.290078,4.058000
41.7,3.290039,4.084000
41.8,3.290010,4.102000
42.0,3.286251,4.130000
42.1,3.293126,4.155000
42.2,3.290781,4.154000
42.3,3.290195,4.128000
42.5,3.292549,4.158500
42.6,3.290637,4.197000
42.7,3.290159,4.208000
42.8,3.290040,4.238000
42.9,3.290020,4.199000
43.0,3.290010,4.148000
43.1,3.290002,4.110000
43.2,3.292501,4.058333
43.3,3.295625,4.013000
43.5,3.298906,4.054000
43.6,3.292227,4.106333
43.7,3.298057,4.127000
43.8,3.294028,4.138000
43.9,3.291007,4.139000
44.0,3.290504,4.098500
44.1,3.292626,4.092000
44.2,3.291313,4.130500
44.3,3.295328,4.195667
44.5,3.293832,4.202000
44.6,3.296729,4.202000
44.7,3.296682,4.227000
44.9,3.299171,4.336000
45.0,3.297293,4.313000
45.1,3.296823,4.353000
45.2,3.299206,4.431750
45.3,3.299801,4.497000
45.5,3.299950,4.502000
45.6,3.294988,4.505000
45.7,3.298747,4.486000
45.8,3.299373,4.511000
46.0,3.299922,4.602000
46.1,3.299980,4.641000
46.2,3.299995,4.664000
46.3,3.299999,4.673500
46.4,3.299999,4.635000
46.5,3.297500,4.571500
46.6,3.299375,4.544000
46.7,3.294687,4.519000
46.8,3.293672,4.467000
47.0,3.295918,4.286000
47.1,3.293979,4.240000
47.2,3.291747,4.239000
47.3,3.291747,4.246000
47.4,3.295437,4.255000
47.5,3.293859,4.277000
47.6,3.296930,4.315500
47.7,3.298366,4.353000
47.8,3.299592,4.369000
48.0,3.299796,4.368000
48.1,3.292474,4.385000
48.2,3.296237,4.423500
48.3,3.299059,4.398000
48.5,3.292265,4.229333
48.6,3.290566,4.210000
48.7,3.285142,4.170500
48.8,3.281285,4.105000
49.0,3.286411,3.793000
49.1,3.281603,3.662500
49.2,3.280801,3.571667
49.3,3.272700,3.468400
49.5,3.270675,3.356500
49.6,3.267669,3.320000
49.7,3.266917,3.255750
49.8,3.266729,3.147250
49.9,3.268365,3.080000
50.0,3.264591,3.075500
50.1,3.262296,3.010667
50.2,3.253074,2.959000
50.3,3.248268,2.934000
50.5,3.244567,2.813250
50.6,3.251142,2.691000
50.7,3.245285,2.599500
50.8,3.245285,2.519000
50.9,3.243821,2.463000
51.0,3.240955,2.514000
51.1,3.237739,2.553000
51.2,3.224435,2.514000
51.3,3.221109,2.539000
51.5,3.217777,2.312250
51.6,3.219722,2.263000
51.7,3.224861,2.198000
51.9,3.213715,2.176000
52.0,3.211858,2.137000
52.1,3.210232,2.083500
52.2,3.202558,2.072000
52.3,3.200640,2.037333
52.5,3.192580,1.956000
52.6,3.196290,1.945000
52.7,3.189072,1.906000
52.8,3.182268,1.867000
53.0,3.168067,1.823333
53.1,3.174034,1.759500
53.2,3.163508,1.707500
53.3,3.153377,1.668000
53.4,3.151689,1.615333
53.5,3.150422,1.564000
53.6,3.137606,1.560000
53.7,3.141901,1.522000
53.8,3.142975,1.500000
54.0,3.140744,1.455500
54.1,3.147686,1.404500
54.2,3.134421,1.410000
54.3,3.134421,1.419000
54.4,3.138605,1.398000
54.5,3.129303,1.405000
54.6,3.117326,1.430000
54.7,3.095916,1.377667
54.8,3.097958,1.325000
55.0,3.073495,1.290667
55.1,3.068374,1.225500
55.2,3.069593,1.225000
55.4,3.072398,1.164000
55.5,3.053100,1.137500
55.6,3.046550,1.110000
55.7,3.041637,1.110000
55.8,3.010409,1.102000
56.0,3.026301,1.057000
56.1,3.031575,1.039000
56.2,3.042894,1.039000
56.3,3.051447,1.000500
56.5,3.040181,0.983000
56.6,3.025045,1.001000
56.7,3.021261,1.013500
56.8,3.025631,1.052000
56.9,3.022815,1.054000
57.0,3.011408,1.029000
57.1,3.002852,1.011000
57.2,2.995713,0.972000
57.3,2.943928,0.970000
57.5,2.923482,0.940000
